Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,Postal_Code,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,"Walmart 3794 - Federal Way, WA",34520 16TH AVE S,,Federal Way,WA,98003,,833-632-2778,E,,Public,24 hours daily,,,,,,1,3,,Electrify America,https://www.electrifyamerica.com/,GPS,47.29149,-122.30889,4/9/2024,185190,2024-04-09 08:32:56 UTC,,,,2/19/2021,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Celebration Center - Tesla Supercharger,32015 Pacific Highway South,,Federal Way,WA,98003,,877-798-3752,E,,Public,24 hours daily,,,,,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,47.314888,-122.31487,7/1/2023,187166,2023-07-14 19:41:28 UTC,P,,,3/22/2021,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LAKEHAVEN W&S 2,31627 1st Ave S,,Federal Way,WA,98003,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.318292,-122.335526,4/9/2024,257334,2024-04-09 05:54:51 UTC,,,,3/30/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LAKEHAVEN W&S 1,31627 1st Ave S,,Federal Way,WA,98003,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.318336,-122.33558,4/9/2024,257335,2024-04-09 05:54:51 UTC,,,,3/30/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Argyle Apartment Homes,2517 South 316th Lane,,Federal Way,WA,98003,,888-998-2546,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,47.31915,-122.30149,4/9/2024,316053,2024-04-09 01:19:32 UTC,,,,9/28/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,7Charge - Federal Way,35620 Pacific Hwy S,,Federal Way,WA,98003,,844-711-2474,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY CREDIT D M V,,,,,,4,,7CHARGE,https://www.7-eleven.com/7charge,200-8,47.28234,-122.3216,1/9/2024,323707,2024-01-31 22:07:01 UTC,P,,,12/28/2023,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,$0.46 per kWh; idle fee is $1 per minute after a 15 minute grace period,,,,,,,,,,FALSE,,,,,,,,LD,FALSE
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614744,-122.193162,4/9/2024,37181,2024-04-09 03:05:54 UTC,,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616104,-122.19696,4/9/2024,40383,2024-04-09 03:52:23 UTC,,,,5/15/2011,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KRC SKYLINE SKYLINE #1,10900 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61434,-122.194037,4/9/2024,40384,2024-04-09 03:33:39 UTC,,,,5/15/2011,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,PARKMETRO1 PARK METRO #1,11101 NE 12th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.620793,-122.192469,4/9/2024,60241,2024-04-09 01:59:54 UTC,,,,2/7/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,UDR ASHTON BELL #2,10710 NE 10th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.619772,-122.197194,4/9/2024,62654,2024-04-09 02:03:02 UTC,,,,7/30/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,UDR TEN20 #1,1020 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61984,-122.19603,4/9/2024,62728,2024-04-09 02:02:14 UTC,,,,7/31/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,UWMC UWMC #1,3100 Northup Way,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.638269,-122.191294,4/9/2024,63110,2024-04-09 02:01:19 UTC,,,,8/28/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINC SQUARE EXP LSE P2 #2,432-492 Bellevue Way NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614294,-122.201255,4/9/2024,81023,2024-04-09 02:30:05 UTC,,,,1/27/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINC SQUARE EXP P5 1,410 Bellevue Way NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614098,-122.200729,4/9/2024,81024,2024-04-09 03:00:25 UTC,,,,1/27/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,THE SUMMIT THE SUMMIT - P2,10885 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.613367,-122.194775,4/9/2024,82346,2024-04-09 02:43:46 UTC,,,,4/20/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,ESSEX BELLCENTERE 01,10822 NE 2nd Pl,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.612468,-122.194308,4/9/2024,82499,2024-04-09 02:43:59 UTC,,,,5/5/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE DOWNTOWN PARK 2,10201 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61309,-122.206569,4/9/2024,85540,2024-04-09 02:45:21 UTC,,,,6/14/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE SQUARE BELL SQ NORTH 1,Bellevue Square - North Building104th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616971,-122.203009,4/9/2024,87711,2024-04-09 02:50:29 UTC,,,,9/21/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,CAR CHARGER #1 SOMA DUAL 1,288 106th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.612754,-122.198497,4/9/2024,88290,2024-04-09 02:52:00 UTC,,,,11/3/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINC SQUARE EXP LSS P2 106-107,440 Bellevue Way NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614503,-122.201196,4/9/2024,99407,2024-04-09 02:52:22 UTC,,,,6/22/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINC SQUARE EXP LSS P2 109-110,424 104th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614311,-122.201051,4/9/2024,99408,2024-04-09 02:52:22 UTC,,,,6/22/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINC SQUARE EXP LSS P2 100-101,414 104th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614752,-122.200829,4/9/2024,99409,2024-04-09 02:51:33 UTC,,,,6/22/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINC SQUARE EXP LSS P2 92-93,500 Bellevue Way NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614649,-122.200751,4/9/2024,99410,2024-04-09 02:51:32 UTC,,,,6/22/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Courtyard by Marriott Seattle Bellevue/Downtown - Tesla Destination,11010 NE 8th St,,Bellevue,WA,98004,,425-454-5888  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.617601,-122.193492,10/6/2022,116075,2023-01-18 15:15:20 UTC,P,,,2/24/2017,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Marriott Bellevue - Tesla Destination,200 110th Ave,,Bellevue,WA,98004,,425-214-7600  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.611844,-122.193618,10/6/2022,116076,2023-01-18 15:15:20 UTC,P,,,10/6/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Marriott AC Bellevue - Tesla Destination,208 106th Pl NE,,Bellevue,WA,98004,,425-625-2450  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,47.612345,-122.197702,10/6/2022,116077,2023-01-18 15:15:20 UTC,P,,,8/29/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Hilton Bellevue - Tesla Destination,300 112th Ave SE,,Bellevue,WA,98004,,425-455-1300  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,47.607592,-122.189582,10/6/2022,116078,2023-01-18 15:15:20 UTC,P,,,10/2/2015,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Bellevue City Hall,450 110th Ave NE,,Bellevue,WA,98004,,,E,,Private,,,,,,,6,,,Non-Networked,,200-9,47.614293,-122.192294,1/10/2022,117286,2023-02-15 22:45:41 UTC,P,,,12/3/2018,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE
ELEC,521606-CIVICA OFFICE COMMONS,225-108TH AVE NE,,BELLEVUE,WA,98004,,855-900-7584,E,,Public,24 hours daily,,,,,,4,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,GPS,47.6123,-122.1966,4/9/2024,121397,2024-04-09 07:56:06 UTC,,,,4/13/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,LINCOLN SQUARE LS NORTH DUAL 4,110 Bellevue Way NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616294,-122.201029,4/9/2024,122765,2024-04-09 03:27:31 UTC,,,,5/15/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE PLACE BELL PLACE #2,575 Bellevue Way NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.618421,-122.20129,4/9/2024,122781,2024-04-09 03:27:44 UTC,,,,5/16/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,UDR CHARGER 4,958 111th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.618696,-122.191787,4/9/2024,147301,2024-04-09 03:42:40 UTC,,,,10/26/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Hilton Garden Inn Bellevue,10777 Northeast 10th Street,,Bellevue,WA,98004,,800-663-5633,E,,Public,24 hours daily,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,47.6188924,-122.1969419,4/9/2024,149501,2024-04-09 01:23:03 UTC,,,,6/16/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,,,,,,,,,,FALSE
ELEC,CCB CCB 1,500 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61479,-122.195543,4/9/2024,150466,2024-04-09 03:48:54 UTC,,,,12/21/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE 110TH & 10TH,938 110th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61903,-122.19342,4/9/2024,154094,2024-04-09 03:56:20 UTC,,,,2/27/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,ATRIUM GARAGE ATRIUM GARAGE,110 110th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.611456,-122.193235,4/9/2024,162808,2024-04-09 01:57:49 UTC,,,,6/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEFIELD MADRONA 1,1300 114th Ave SE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.599757,-122.187281,4/9/2024,162810,2024-04-09 01:57:35 UTC,,,,6/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Stay Pineapple,155 108th Ave NE,Level 2 Near Main Entry||,Bellevue,WA,98004,,888-998-2546,E,,Public,24 hours daily,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,47.61176,-122.19734,4/9/2024,168122,2024-04-09 01:07:03 UTC,,,,11/5/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KEY CENTER KEY CENTER 5,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6161,-122.19692,4/9/2024,171659,2024-04-09 03:52:23 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KEY CENTER STATION 3,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616057,-122.196775,4/9/2024,171661,2024-04-09 03:06:50 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KEY CENTER STATION 2,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616072,-122.196829,4/9/2024,171662,2024-04-09 03:06:50 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KEY CENTER STATION 1,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616101,-122.196893,4/9/2024,171663,2024-04-09 03:05:01 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KRC SKYLINE SKYLINE #2,10900 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614334,-122.19401,4/9/2024,171665,2024-04-09 03:33:38 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,KRC SKYLINE SKYLINE #3,10900 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614305,-122.194097,4/9/2024,171666,2024-04-09 03:33:34 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,UDR TEN20 #2,1020 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.619855,-122.195919,4/9/2024,171795,2024-04-09 02:03:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,HAMPTON INN NORTH FRONT,11505 NE 2nd Pl,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.612051,-122.186391,4/9/2024,171930,2024-04-09 02:14:10 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE DOWNTOWN PARK 1,10201 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.613224,-122.206542,4/9/2024,172053,2024-04-09 02:44:01 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE SQUARE BELL SQ NORTH 2,Bellevue Square - North Building104th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616939,-122.203004,4/9/2024,172561,2024-04-09 02:49:11 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE SQUARE BELL SQ NORTH 3,Bellevue Square - North Building104th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616865,-122.202993,4/9/2024,172562,2024-04-09 02:49:10 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,BELLEVUE SQUARE BELL SQ NORTH 4,Bellevue Square - North Building104th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61677,-122.203004,4/9/2024,172563,2024-04-09 02:49:10 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
